categoryId,channelId,channelTitle,commentCount,dislikeCount,favoriteCount,likeCount,tags,title,videoId,viewCount
27,UC7f5bVxWsm3jlZIPDzOMcAg,Хауди Хо™ - Просто о мире IT!,2033,925,0,17464,"['python', 'пайтон', 'питон', 'как выучить python', 'python уроки', 'питон уроки', 'новичкам', 'плюсы и минусы', 'вся правда', 'советы', 'для новичков', 'советы новичкам', 'хауди хо']",PYTHON Г@ВНО? НА ЧТО СПОСОБЕН PYTHON :3,FnzcMu-tzfA,202725
22,UC9MK8SybZcrHR3CUV4NMy2g,Диджитализируй!,1192,437,0,7234,"['python', 'pep', 'pep8', 'python data model', 'изучение python', 'лучший язык программирования для новичков', 'языки программирования', 'какой язык программирования учить первым', 'terminal', 'tmux', 'программирование', 'разработка', 'веб-разработка', 'django', 'learn python', 'алексей голобурдин', 'архитектура python', 'php vs python', 'расмус лердорф', 'zen of python', 'какой язык программирования выбрать', 'программирование с нуля', 'питон', 'выбор языка программирования', 'обучение программированию', 'разработчик']",Чем так крут Python — реальный пример. Продуманная архитектура Python,cwAors_xDA4,177229
27,UCvuY904el7JvBlPbdqbfguw,Гоша Дударь,376,198,0,5510,"['python', 'питон', 'уроки питон', 'python уроки', 'программа на python', 'python для начинающих', 'создание программы', 'практика', 'уроки', 'для начинающих', 'программирование', 'Программа на Python']",Python на практике / Пишем 3  программы на Питон за 5 минут,uFzNc7D44HI,103337
27,UCQfwKTJdCmiA6cXAY0PNRJw,Тимофей Хирьянов,310,66,0,8122,No Tags,"2020 Практика программирования на Python, лекция №1",us7y0UhTq0s,164706
22,UCMYT8xymrm4VOP241b86MCQ,Dũng Lại Lập Trình,1518,107,0,11847,"['lập trình', 'tự học', 'lap trinh', 'lap', 'trinh', 'code', 'python', 'PYTHON', 'python3', 'beginner', 'IT', 'công nghệ', 'cong nghe', 'phần mềm', 'tiếng anh', 'tieng anh', 'hello world', 'tutorial', 'từ đầu', 'Dũng Lại', 'dung lai', 'dunglailaptrinh', 'dung lai lap trinh']",Lập Trình Cơ Bản PYTHON Tự Học Cho Người Mới Bắt Đầu,oFgg7K2tpfk,324504
28,UC7f5bVxWsm3jlZIPDzOMcAg,Хауди Хо™ - Просто о мире IT!,1485,473,0,14751,"['python', 'android', 'windows', 'mac', 'разработка программ', 'уроки python', 'пайтон', 'как выучить python', 'для новичков', 'как создать программу на python', 'по на python', 'python по', 'создание программы python', 'gui python', 'интерфейс программы python', 'хауди хо']",Python как сделать красивую программу под ПК за 10 минут?,Gon0MvppfF8,199379
27,UCo-O74A4qVz6nq5cfCIee6w,jaicompris Maths,68,18,0,1196,"['python', 'print()', 'input()', 'print', 'input', 'cours', 'programmation', 'lycée', 'algorithmique', 'tutoriel']",cours python • print() et input() • programmation • tutoriel  • lycée,gZZzIbLbswg,69807
28,UCFuIUoyHB12qpYa8Jpxoxow,Código Fonte TV,240,37,0,9111,"['Python', 'Python Tutorial', 'PIP', 'Python IDE', 'Python Framework', 'Django', 'Programação Python', 'Python 3', 'Python Language', 'IA', 'Machine Learning', 'PyInstaller', 'Numpy', 'PyCharm', 'Web2Py', 'Flask', 'CherryPy', 'Curso de Python CDFTV', 'CDF', 'Nerd', 'Geek', 'Código Fonte', 'Programador', 'Desenvolvedor', 'Linguagem de Programação', 'Web Developer', 'Coder', 'Developer', 'Informática', 'Youtuber', 'Gabriel Fróes', 'Vanessa Weber', 'TI', 'YoutubeBrasil']",Python // Dicionário do Programador,uOgDa1rlqjE,50343
27,UCnrZ-UFSzeMSxKx_OHtwKsQ,Kelas Terbuka,758,31,0,2695,"['python', 'python 3', 'python3', 'dasar', 'basic', 'indonesia', 'tutorial', 'belajar', 'mac', 'windows', 'scientific', 'python dasar', 'pycharm', 'tutorial python bahasa indonesia', 'pemrograman', 'programming', 'introduction', 'pengenalan', 'pendahuluan', 'belajar python', 'python indonesia', 'web framework', 'web programming', 'koding python', 'program', 'koding', 'belajar python bahasa indonesia', 'belajar python indonesia', 'django', 'matplotlib', 'machine learning', 'numpy', 'scipy', 'scraping']",Belajar Python [Dasar] - 02a - Installasi Python dan VS Code di Windows,OSmaWPSgvTQ,139365
28,UCO6BOq8xNMyNflIrxIMcDyg,Akademia Kodu,14,25,0,242,"['programowanie', 'kurs python', 'python', 'nauka programowania', 'jak zostać programistą', 'kurs programowania', 'szkoła programowania', 'akademiakodu', 'programowanie python', 'nauka python', 'python tutorial', 'cwiczenia python', 'python od podstaw', 'python od zera', 'python podstawy', 'python programowanie', 'python poradnik', 'nauka pythona od podstaw', 'python kurs programowania', 'nauka jezyka python', 'python 3', 'kurs', 'dla początkujących', 'po polsku', 'tutorial', 'yt:cc=on', 'poradnik', 'program', 'język', 'akademia kodu']",Kurs Python Podstawy 2020 | Python Dla Początkujących,a21tdVYfUDc,19311
28,UCDSn4Ql7fuyjxsSNOws81iQ,BorntoDev,77,33,0,2833,"['python', 'ไพธอน', 'สอนเขียนโปรแกรม', 'การเขียนโปรแกรมคอมพิวเตอร์', 'programming', 'software', 'developer', 'โปรแกรมเมอร์', 'สร้างโปรแกรม', 'เริ่มต้นเขียนโปรแกรม', 'borntodev', 'โปรแกรม', 'คอมพิวเตอร์', 'วิศวกรรมคอมพิวเตอร์', 'วิทยาการคอมพิวเตอร์', 'เทคโนโลยีสารสนเทศ', 'computer science', 'information technology', 'ภาษาไพธอน', 'ภาษาโปรแกรม', 'technology']",สอนภาษาที่มีงูหน่อย ? เริ่มต้นเขียนโปรแกรมภาษา Python กันเลย  | Me สาระ EP.9,5uKTyEUgFa8,117393
28,UCvnoM0R1sDKm-YCPifEso_g,Absolute,440,63,0,5533,"['python', 'python lenguaje', 'lenguaje de programacion', 'tutorial python', 'python en 5 minutos', 'la historia de', 'como usar', 'absolute']",Python en 5 Minutos!,nh40ZUw8f1o,31006
22,UCStj-ORBZ7TGK1FwtGAUgbQ,Programming Hero,98,11,0,315,"['Programming', 'python', 'web development', 'learn programming', 'programming tutorial', 'coding', 'software', 'python project', 'usa election', 'US Election', 'usa election 202', 'python hack', 'python tutorial']",USA Election Result With Just 12 Lines of Python | USA Election 2020 | Python Hack | Python project,PzfuhKp7Ay4,2987
28,UCDSn4Ql7fuyjxsSNOws81iQ,BorntoDev,113,20,0,3736,"['Python3', 'Python', 'ไพธอน', 'เขียนโปรแกรม', 'สอนเขียนโปรแกรม', 'คอมพิวเตอร์', 'เขียนเกม', 'พัฒนาโปรแกรม', 'วิทยาการคอมพิวเตอร์', 'สรุปสอบ', 'ไอที', 'วิศวกรรมคอมพิวเตอร์', 'เทคโนโลยีสารสนเทศ', 'computer science', 'python 3', 'สอนเขียนโปแกรมฟรี', 'นักพัฒนาโปรแกรม', 'งานสายไอที']",สรุปพื้นฐาน Python 3 ใน 1 ชั่วโมง - Part 1 (มีต่อ),Jw3h06aIHYk,101504
27,UCLXlzAu0NhM5pnXLQdGnHJQ,PyMike,174,4,0,718,"['python', 'python 3', 'python 3.6', 'python ita', 'python italiano', 'programmare in python', 'programmazione python', 'imparare python', 'lezioni python', 'video python', 'tutorial python ita', 'kivy', 'kivy italiano', 'app smartphone python', 'android python', 'ios italiano', 'android italiano', 'python 3.8', 'python 3.7', 'app smartphone italiano', 'smartphone python', 'ios python', 'iphone python', 'samsung python']",01 - Come Creare App Per Smartphone Android e iOS con Python - Introduzione e Prima App,5nOmSbVjktk,16467
27,UCGlgXjYVoHLD86TQQ799WIw,キノコード / プログラミング学習動画のYouTuber,67,23,0,875,"['Python', 'プログラミング初心者', '学習方法']",プログラミング初心者がPythonを完全無料で学習する方法,FVTSMyh8a9o,28214
